"text"
"📌 @mlleperez
#Toronto #TheSix #EstudiaenCanadá🇨🇦 https://t.co/FzjSa3PhDv"
"September marks a huge milestone @DistilleryTO …190 years old! Come explore the 13 acres of Victorian-era industrial architecture &amp; browse the unique shops, cafes, galleries and restaurants.

#Toronto #distilleryto #yyz https://t.co/4vu1IlZLDv"
"The average home price rising again in Toronto.
https://t.co/NjHh7B5Odo
#toronto #yorkregion #luxuryrealestate #realestateinvestment #gtarealestate #michellerefani #torontorealtors #torontolife #NewConstruction"
"Sault News: Real estate prices expected to remain stable | CTV News
https://t.co/vzxdH7Rklf
Contact me to discuss the latest scoop in real estate! #toronto #yorkregion"
"Saturday vibes! #Toronto https://t.co/RKEosXP6X7"
"#Toronto head over to #BloorWest to support #Ukraine️ this afternoon! https://t.co/bBULdZOFGH"
"TODAY!   Yard sale and BBQ for Royal Canadian Legion, 1240 Woodbine Ave. in  #Toronto #TorontoEvents #EastYork #TheDanforth #BEY #beacheseastyork #TorDan https://t.co/cbgzFjqOuY"
"Let Sparkles brighten your day. Adopt via #Toronto's https://t.co/CryMxLZZtZ  #TorontoEvents #TorontoLife #beachesTO #Leslieville #ScarbTO #eastyork #RiversideTO @adamsandler #TorDan #cityofTO #BlogTO #thebeaches #willowdale #gravenhurst  #Etobicoke #DurhamRegion #Cobourg #gta https://t.co/orHogmGIyp"
"#Toronto #NorthYork #Vaughan #Willowdale #Markham #ScarbTO #RichmondHill #Etobicoke #AuroraON #LawrencePark #northtoronto #eastYork #thedanforth #Cabbagetown #TorontoLife #cityofTO #BlogTO #leslieville #YorkRegion https://t.co/3fUf5gSaYo"
"https://t.co/pD90ADDTdN  Puppies new to https://t.co/CryMxLZZtZ in #Toronto Follow them on facebook and adopt! 
#TorontoEvents #TorontoLife #beachesTO #Leslieville #ScarbTO #eastyork #RiversideTO @adamsandler
 #TorDan #QueenEastEats #BlogTO #thebeaches #cityofTO #gravenhurst #gta"
"It’s like making peace with relatives at the reunion. 

#Toronto #KarmaCup https://t.co/ms7e9kE76u"
"Last year, I dressed up special for the “World Wide Rally for Freedom.”

There are competing rallies planned this year, with Maxime Bernier scheduled to be the keynote speaker at Queen’s Park.

Maybe I can petition him to unblock me on Twitter?

📸 Sep 18, 2021

#cdnpoli #Toronto https://t.co/lqwEbSizfE"
"I don’t drive, but if I did and saw this vehicle on the road… I would give it wide berth. 

#cdnpoli #Toronto #ChristiePits https://t.co/lWHB4LWFSn"
"Ran into mayoral candidate @SarahC_Toronto playing an unusual instrument on the street.

#cdnpoli #Toronto #Kensington https://t.co/Pn4LAmkrEt"
"Live performance by @SarahC_Toronto at her mayoral campaign kickoff.

#cdnpoli #Toronto #Kensington https://t.co/tBPUj4b4mR https://t.co/MZKiU5YRBd"
"A few PPC members have arrived to scope out the scene for leader Maxime Bernier, who is scheduled to speak in about half an hour.

I clarify that I am not with any group, including “antifa.”

#cdnpoli #Toronto #ChristiePits https://t.co/x8wCtqfZeI"
"Thankfully, this wasn’t a call-out. 

#cdnpoli #Toronto #TOpoli https://t.co/YGc7aImlQi"
"Spending the day with my community. 

#Toronto #KarmaCup https://t.co/Y6nVWrbnEY"
"There were a couple of interruptions to this video, including the rally organizer running to stop parking enforcement from ticketing a vehicle and Jody Ledgerwood commenting on my face.

Maxime Bernier has not yet arrived. 

#cdnpoli #Toronto #ChristiePits https://t.co/fEe8Io8Asx"
"Popeyes restaurant in cursed Toronto location locked out by landlord https://t.co/7FYbZdlfbf #Toronto #Popeyes"
"What's next for the restaurant that got the highest rating in Toronto's Michelin Guide https://t.co/2Z4RJMBJTw #Toronto #MICHELINGuideTOR #MichelinStar22"
"A Toronto bike lane vanished during construction and hasn't been replaced https://t.co/YJJmRYd9ia #Toronto"
"Scarborough almost completely left out of Michelin guide for Toronto https://t.co/2OPkhfkFUt #Toronto #Scarborough #MICHELINGuideTOR #MichelinStar22"
